ID;AATSR;ATSR2;MERIS;MODISA;PARASOL;VEGETATION
 1;  555;  555;412; 412; 443; 450
 2;  660;  660;443; 443; 490; 645
 3;  865;  865;490; 487; 565; 835
 4; 1610; 1610;510; 530; 670;1665
 5; 3700; 3700;560; 547; 763;  -2
 6;10850;10850;620; 666; 765;  -2
 7;12000;12000;665; 666; 865;  -2 
 8;   -2;   -2;681; 677; 910;  -2
 9;   -2;   -2;708; 677;1020;  -2
10;   -2;   -2;753; 746;  -2;  -2
11;   -2;   -2;761; 866;  -2;  -2
12;   -2;   -2;778; 904;  -2;  -2
13;   -2;   -2;865; 936;  -2;  -2
14;   -2;   -2;885; 935;  -2;  -2
15;   -2;   -2;900;1383;  -2;  -2
16;   -2;   -2; -2; 466;  -2;  -2
17;   -2;   -2; -2; 554;  -2;  -2
18;   -2;   -2; -2;1242;  -2;  -2
19;   -2;   -2; -2;1629;  -2;  -2
20;   -2;   -2; -2;2114;  -2;  -2
21;   -2;   -2; -2; 646;  -2;  -2
22;   -2;   -2; -2; 857;  -2;  -2
